attempt    K    arraySize    mergeSortTime    hybridSortTime
0    0    5000    0.006858    0.007001
0    1    5000    0.006554    0.005930
0    2    5000    0.006292    0.005397
0    3    5000    0.005931    0.005211
0    4    5000    0.005589    0.004483
0    5    5000    0.005594    0.004392
0    6    5000    0.005307    0.004282
0    7    5000    0.005308    0.004286
0    8    5000    0.005301    0.004245
0    9    5000    0.005302    0.004074
0    10    5000    0.005297    0.004081
0    11    5000    0.005298    0.004068
0    12    5000    0.005298    0.004077
0    13    5000    0.005303    0.004071
0    14    5000    0.005298    0.004078
0    15    5000    0.005298    0.004071
0    16    5000    0.005302    0.004072
0    17    5000    0.005298    0.004059
0    18    5000    0.005302    0.004056
0    19    5000    0.005296    0.004036
0    20    5000    0.005299    0.004046
0    21    5000    0.005295    0.004041
0    22    5000    0.005299    0.004015
0    23    5000    0.005298    0.004030
0    24    5000    0.005301    0.004043
0    25    5000    0.005290    0.004027
0    26    5000    0.005299    0.004032
0    27    5000    0.005306    0.004027
0    28    5000    0.005302    0.004027
0    29    5000    0.005301    0.004033
0    30    5000    0.005298    0.004054
0    31    5000    0.005291    0.004029
0    32    5000    0.005291    0.003992
0    33    5000    0.005301    0.004020
0    34    5000    0.005303    0.004031
0    35    5000    0.005296    0.004039
0    36    5000    0.005291    0.004034
0    37    5000    0.005300    0.004043
0    38    5000    0.005301    0.004374
0    39    5000    0.005297    0.004412
0    40    5000    0.005300    0.004427
0    41    5000    0.005297    0.004386
0    42    5000    0.005300    0.004432
0    43    5000    0.005314    0.004424
0    44    5000    0.005283    0.004401
0    45    5000    0.005300    0.004354
0    46    5000    0.005295    0.004398
0    47    5000    0.005298    0.004406
0    48    5000    0.005297    0.004420
0    49    5000    0.005297    0.004436
0    50    5000    0.005297    0.004421
0    51    5000    0.005301    0.004420
0    52    5000    0.005306    0.004395
0    53    5000    0.005297    0.004376
0    54    5000    0.005299    0.004415
0    55    5000    0.005296    0.004434
0    56    5000    0.005302    0.004400
0    57    5000    0.005291    0.004414
0    58    5000    0.005297    0.004413
