attempt    arraySize    insertionSortTime    mergeSortTime    diffTime
0    20    0.000005    0.000012    0.000007
0    21    0.000005    0.000011    0.000006
0    22    0.000006    0.000011    0.000005
0    23    0.000006    0.000012    0.000006
0    24    0.000008    0.000012    0.000004
0    25    0.000006    0.000013    0.000007
0    26    0.000009    0.000013    0.000004
0    27    0.000008    0.000014    0.000006
0    28    0.000008    0.000014    0.000006
0    29    0.000008    0.000015    0.000007
0    30    0.000008    0.000016    0.000008
0    31    0.000009    0.000017    0.000008
0    32    0.000010    0.000017    0.000007
0    33    0.000011    0.000017    0.000006
0    34    0.000009    0.000018    0.000009
0    35    0.000014    0.000019    0.000005
0    36    0.000014    0.000020    0.000006
0    37    0.000013    0.000020    0.000007
0    38    0.000012    0.000021    0.000009
0    39    0.000015    0.000022    0.000007
0    40    0.000017    0.000022    0.000005
0    41    0.000015    0.000022    0.000007
0    42    0.000016    0.000024    0.000008
0    43    0.000018    0.000025    0.000007
0    44    0.000019    0.000025    0.000006
0    45    0.000019    0.000026    0.000007
0    46    0.000019    0.000026    0.000007
0    47    0.000016    0.000027    0.000011
0    48    0.000022    0.000027    0.000005
0    49    0.000021    0.000028    0.000007
0    50    0.000022    0.000028    0.000006
0    51    0.000025    0.000029    0.000004
0    52    0.000026    0.000030    0.000004
0    53    0.000027    0.000031    0.000004
0    54    0.000023    0.000031    0.000008
0    55    0.000028    0.000033    0.000005
0    56    0.000030    0.000032    0.000002
0    57    0.000028    0.000034    0.000006
0    58    0.000030    0.000035    0.000005
0    59    0.000026    0.000035    0.000009
0    60    0.000029    0.000036    0.000007
0    61    0.000031    0.000037    0.000006
0    62    0.000034    0.000038    0.000004
0    63    0.000032    0.000038    0.000006
0    64    0.000036    0.000038    0.000002
0    65    0.000039    0.000039    0.000000
0    66    0.000033    0.000040    0.000007
0    67    0.000040    0.000041    0.000001
0    68    0.000037    0.000042    0.000005
0    69    0.000039    0.000042    0.000003
0    70    0.000046    0.000044    0.000002
0    71    0.000045    0.000044    0.000001
0    72    0.000050    0.000045    0.000005
0    73    0.000048    0.000045    0.000003
0    74    0.000046    0.000046    0.000000
0    75    0.000050    0.000046    0.000004
0    76    0.000049    0.000047    0.000002
0    77    0.000048    0.000048    0.000000
0    78    0.000058    0.000048    0.000010
0    79    0.000059    0.000050    0.000009
0    80    0.000057    0.000050    0.000007
0    81    0.000054    0.000050    0.000004
0    82    0.000062    0.000051    0.000011
0    83    0.000049    0.000052    0.000003
0    84    0.000066    0.000053    0.000013
0    85    0.000066    0.000054    0.000012
0    86    0.000065    0.000053    0.000012
0    87    0.000065    0.000054    0.000011
0    88    0.000067    0.000055    0.000012
0    89    0.000065    0.000056    0.000009
0    90    0.000070    0.000057    0.000013
0    91    0.000084    0.000058    0.000026
0    92    0.000079    0.000058    0.000021
0    93    0.000075    0.000060    0.000015
0    94    0.000074    0.000060    0.000014
0    95    0.000083    0.000060    0.000023
0    96    0.000080    0.000061    0.000019
0    97    0.000084    0.000062    0.000022
0    98    0.000086    0.000063    0.000023
0    99    0.000083    0.000064    0.000019
0    100    0.000085    0.000064    0.000021
0    101    0.000090    0.000065    0.000025
0    102    0.000086    0.000067    0.000019
0    103    0.000100    0.000067    0.000033
0    104    0.000097    0.000068    0.000029
0    105    0.000090    0.000069    0.000021
0    106    0.000106    0.000070    0.000036
0    107    0.000093    0.000070    0.000023
0    108    0.000093    0.000071    0.000022
0    109    0.000107    0.000071    0.000036
0    110    0.000114    0.000073    0.000041
0    111    0.000097    0.000074    0.000023
0    112    0.000117    0.000075    0.000042
0    113    0.000113    0.000074    0.000039
0    114    0.000107    0.000075    0.000032
0    115    0.000102    0.000076    0.000026
0    116    0.000114    0.000077    0.000037
0    117    0.000105    0.000079    0.000026
0    118    0.000125    0.000079    0.000046
0    119    0.000121    0.000081    0.000040
0    120    0.000135    0.000081    0.000054
0    121    0.000120    0.000082    0.000038
0    122    0.000122    0.000083    0.000039
0    123    0.000130    0.000081    0.000049
0    124    0.000119    0.000083    0.000036
0    125    0.000133    0.000084    0.000049
0    126    0.000137    0.000084    0.000053
0    127    0.000127    0.000084    0.000043
0    128    0.000139    0.000085    0.000054
0    129    0.000140    0.000087    0.000053
0    130    0.000150    0.000087    0.000063
0    131    0.000149    0.000089    0.000060
0    132    0.000136    0.000089    0.000047
0    133    0.000170    0.000091    0.000079
0    134    0.000153    0.000092    0.000061
0    135    0.000152    0.000093    0.000059
0    136    0.000147    0.000093    0.000054
0    137    0.000147    0.000094    0.000053
0    138    0.000178    0.000094    0.000084
0    139    0.000150    0.000095    0.000055
0    140    0.000165    0.000096    0.000069
0    141    0.000178    0.000097    0.000081
0    142    0.000170    0.000098    0.000072
0    143    0.000156    0.000099    0.000057
0    144    0.000170    0.000099    0.000071
0    145    0.000170    0.000100    0.000070
0    146    0.000174    0.000102    0.000072
0    147    0.000192    0.000102    0.000090
0    148    0.000167    0.000102    0.000065
0    149    0.000184    0.000104    0.000080
0    150    0.000181    0.000104    0.000077
1    20    0.000005    0.000010    0.000005
1    21    0.000004    0.000011    0.000007
1    22    0.000006    0.000011    0.000005
1    23    0.000007    0.000012    0.000005
1    24    0.000006    0.000012    0.000006
1    25    0.000006    0.000012    0.000006
1    26    0.000006    0.000013    0.000007
1    27    0.000006    0.000023    0.000017
1    28    0.000006    0.000015    0.000009
1    29    0.000009    0.000015    0.000006
1    30    0.000008    0.000016    0.000008
1    31    0.000008    0.000016    0.000008
1    32    0.000011    0.000017    0.000006
1    33    0.000010    0.000018    0.000008
1    34    0.000010    0.000019    0.000009
1    35    0.000011    0.000019    0.000008
1    36    0.000012    0.000019    0.000007
1    37    0.000012    0.000021    0.000009
1    38    0.000015    0.000021    0.000006
1    39    0.000014    0.000021    0.000007
1    40    0.000014    0.000022    0.000008
1    41    0.000016    0.000022    0.000006
1    42    0.000015    0.000024    0.000009
1    43    0.000019    0.000024    0.000005
1    44    0.000019    0.000025    0.000006
1    45    0.000015    0.000025    0.000010
1    46    0.000023    0.000026    0.000003
1    47    0.000021    0.000026    0.000005
1    48    0.000019    0.000027    0.000008
1    49    0.000021    0.000028    0.000007
1    50    0.000024    0.000028    0.000004
1    51    0.000023    0.000030    0.000007
1    52    0.000028    0.000030    0.000002
1    53    0.000024    0.000031    0.000007
1    54    0.000021    0.000031    0.000010
1    55    0.000026    0.000032    0.000006
1    56    0.000031    0.000032    0.000001
1    57    0.000028    0.000033    0.000005
1    58    0.000031    0.000034    0.000003
1    59    0.000025    0.000036    0.000011
1    60    0.000035    0.000036    0.000001
1    61    0.000032    0.000036    0.000004
1    62    0.000035    0.000037    0.000002
1    63    0.000030    0.000038    0.000008
1    64    0.000033    0.000038    0.000005
1    65    0.000037    0.000040    0.000003
1    66    0.000039    0.000040    0.000001
1    67    0.000041    0.000041    0.000000
1    68    0.000038    0.000041    0.000003
1    69    0.000041    0.000042    0.000001
1    70    0.000045    0.000043    0.000002
1    71    0.000042    0.000044    0.000002
1    72    0.000043    0.000045    0.000002
1    73    0.000050    0.000046    0.000004
1    74    0.000048    0.000045    0.000003
1    75    0.000053    0.000047    0.000006
1    76    0.000052    0.000047    0.000005
1    77    0.000056    0.000048    0.000008
1    78    0.000052    0.000049    0.000003
1    79    0.000053    0.000048    0.000005
1    80    0.000057    0.000050    0.000007
1    81    0.000055    0.000050    0.000005
1    82    0.000060    0.000051    0.000009
1    83    0.000064    0.000052    0.000012
1    84    0.000055    0.000053    0.000002
1    85    0.000056    0.000053    0.000003
1    86    0.000056    0.000055    0.000001
1    87    0.000067    0.000055    0.000012
1    88    0.000067    0.000055    0.000012
1    89    0.000063    0.000057    0.000006
