attempt    K    arraySize    mergeSortTime    hybridSortTime
0    43    0    0.000001    0.000000
1    43    1    0.000000    0.000000
2    43    2    0.000000    0.000000
3    43    3    0.000001    0.000000
4    43    4    0.000001    0.000001
5    43    5    0.000001    0.000001
6    43    6    0.000002    0.000000
7    43    7    0.000002    0.000001
8    43    8    0.000002    0.000000
9    43    9    0.000002    0.000001
10    43    10    0.000002    0.000001
11    43    11    0.000002    0.000000
12    43    12    0.000003    0.000001
13    43    13    0.000003    0.000000
14    43    14    0.000003    0.000001
15    43    15    0.000004    0.000001
16    43    16    0.000004    0.000001
17    43    17    0.000004    0.000002
18    43    18    0.000004    0.000001
19    43    19    0.000005    0.000001
20    43    20    0.000004    0.000001
21    43    21    0.000005    0.000001
22    43    22    0.000005    0.000001
23    43    23    0.000007    0.000002
24    43    24    0.000006    0.000002
25    43    25    0.000006    0.000002
26    43    26    0.000006    0.000001
27    43    27    0.000007    0.000002
28    43    28    0.000007    0.000002
29    43    29    0.000007    0.000002
30    43    30    0.000007    0.000002
31    43    31    0.000007    0.000002
32    43    32    0.000007    0.000003
33    43    33    0.000007    0.000002
34    43    34    0.000008    0.000002
35    43    35    0.000008    0.000002
36    43    36    0.000009    0.000003
37    43    37    0.000008    0.000002
38    43    38    0.000008    0.000003
39    43    39    0.000009    0.000004
40    43    40    0.000009    0.000003
41    43    41    0.000009    0.000003
42    43    42    0.000010    0.000003
43    43    43    0.000010    0.000004
44    43    44    0.000010    0.000004
45    43    45    0.000011    0.000004
46    43    46    0.000011    0.000003
47    43    47    0.000011    0.000004
48    43    48    0.000012    0.000004
49    43    49    0.000012    0.000004
50    43    50    0.000012    0.000003
51    43    51    0.000012    0.000004
52    43    52    0.000013    0.000005
53    43    53    0.000012    0.000004
54    43    54    0.000013    0.000004
55    43    55    0.000013    0.000004
56    43    56    0.000014    0.000005
57    43    57    0.000013    0.000004
58    43    58    0.000014    0.000005
59    43    59    0.000014    0.000005
60    43    60    0.000015    0.000005
61    43    61    0.000015    0.000005
62    43    62    0.000015    0.000005
63    43    63    0.000015    0.000005
64    43    64    0.000016    0.000006
65    43    65    0.000016    0.000006
66    43    66    0.000016    0.000006
67    43    67    0.000016    0.000005
68    43    68    0.000018    0.000005
69    43    69    0.000017    0.000006
70    43    70    0.000018    0.000006
71    43    71    0.000018    0.000006
72    43    72    0.000019    0.000006
73    43    73    0.000018    0.000006
74    43    74    0.000019    0.000006
75    43    75    0.000019    0.000006
76    43    76    0.000020    0.000007
77    43    77    0.000020    0.000007
78    43    78    0.000019    0.000007
79    43    79    0.000019    0.000008
80    43    80    0.000019    0.000008
81    43    81    0.000020    0.000007
82    43    82    0.000020    0.000007
83    43    83    0.000021    0.000008
84    43    84    0.000021    0.000008
85    43    85    0.000022    0.000008
86    43    86    0.000021    0.000008
87    43    87    0.000031    0.000012
88    43    88    0.000036    0.000014
89    43    89    0.000037    0.000012
90    43    90    0.000037    0.000013
91    43    91    0.000039    0.000012
92    43    92    0.000037    0.000013
93    43    93    0.000038    0.000013
94    43    94    0.000039    0.000013
95    43    95    0.000039    0.000013
96    43    96    0.000035    0.000010
97    43    97    0.000024    0.000008
98    43    98    0.000025    0.000009
99    43    99    0.000025    0.000009
100    43    100    0.000027    0.000009
101    43    101    0.000026    0.000010
102    43    102    0.000026    0.000009
103    43    103    0.000027    0.000009
104    43    104    0.000027    0.000010
105    43    105    0.000027    0.000009
106    43    106    0.000027    0.000009
107    43    107    0.000027    0.000010
108    43    108    0.000028    0.000010
109    43    109    0.000029    0.000010
110    43    110    0.000027    0.000010
111    43    111    0.000029    0.000010
112    43    112    0.000029    0.000011
113    43    113    0.000029    0.000011
114    43    114    0.000030    0.000011
