attempt    K    arraySize    mergeSortTime    hybridSortTime
0    10    5000    0.002139    0.001502
0    20    5000    0.002116    0.001143
0    35    5000    0.001988    0.001139
1    10    5000    0.001986    0.001242
1    20    5000    0.001937    0.001078
1    35    5000    0.001878    0.001078
2    10    5000    0.001873    0.001169
2    20    5000    0.001919    0.001072
2    35    5000    0.001877    0.001075
3    10    5000    0.001900    0.001167
3    20    5000    0.001846    0.001020
3    35    5000    0.001776    0.001018
4    10    5000    0.001777    0.001109
4    20    5000    0.001790    0.001022
4    35    5000    0.001776    0.001016
5    10    5000    0.001777    0.001105
5    20    5000    0.001777    0.001026
5    35    5000    0.001769    0.001019
6    10    5000    0.001776    0.001107
6    20    5000    0.001776    0.001017
6    35    5000    0.001776    0.001017
7    10    5000    0.001780    0.001108
7    20    5000    0.001776    0.001020
7    35    5000    0.001786    0.001027
8    10    5000    0.001803    0.001112
8    20    5000    0.001781    0.001023
8    35    5000    0.001790    0.001021
9    10    5000    0.001778    0.001108
9    20    5000    0.001775    0.001018
9    35    5000    0.001780    0.001035
