totalOperations    list    bst    loadFactor
800    0.000590    0.000612    0.583751
1600    0.001258    0.001262    1.644935
2400    0.001985    0.001994    3.171515
3200    0.002925    0.002872    5.180542
4000    0.004440    0.004041    7.691073
4800    0.006193    0.005321    10.700100
5600    0.008866    0.006774    14.210632
6400    0.012716    0.008228    18.222668
7200    0.017987    0.009723    22.736209
8000    0.025399    0.011429    27.751254
8800    0.034732    0.013480    33.267803
9600    0.046822    0.016263    39.285858
10400    0.067888    0.018581    45.805416
11200    0.082976    0.021081    52.826479
12000    0.104638    0.022334    60.349047
12800    0.123967    0.023212    68.373119
13600    0.151201    0.026166    76.898696
14400    0.181422    0.028237    85.925777
15200    0.202106    0.030509    95.454363
16000    0.256290    0.032767    105.484453
16800    0.296612    0.034959    116.016048
17600    0.332040    0.037250    127.046138
18400    0.364659    0.039488    138.580742
19200    0.415928    0.041889    150.616851
20000    0.480152    0.044337    163.154463
20800    0.547605    0.046407    176.191575
21600    0.596778    0.049924    189.732197
22400    0.705459    0.051479    203.773320
23200    0.755996    0.053685    218.313942
24000    0.829594    0.056267    233.359077
24800    0.946424    0.058851    248.897693
25600    1.033691    0.063660    264.945838
26400    1.140976    0.064104    281.493480
27200    1.273503    0.066672    298.542628
28000    1.328127    0.074155    316.079238
28800    1.477071    0.071739    334.123370
29600    1.589686    0.074845    352.662989
30400    1.731360    0.080657    371.718154
31200    1.877856    0.081914    391.267803
32000    2.055120    0.085950    411.322969
32800    2.253140    0.084862    431.863591
33600    2.419266    0.090247    452.914744
34400    2.568427    0.094798    474.467402
35200    2.828750    0.093511    496.523571
36000    3.011119    0.094176    519.066199
36800    3.175189    0.096867    542.124373
37600    3.468612    0.105766    565.690070
38400    3.645611    0.102431    589.757272
39200    3.822676    0.105773    614.294885
40000    3.939405    0.111729    639.348044
