attempt    K    arraySize    mergeSortTime    hybridSortTime
0    0    5000    0.007427    0.007713
0    1    5000    0.007390    0.006881
0    2    5000    0.007398    0.006451
0    3    5000    0.007557    0.006469
0    4    5000    0.007540    0.005912
0    5    5000    0.007505    0.005892
0    6    5000    0.007400    0.005850
0    7    5000    0.007409    0.005887
0    8    5000    0.007409    0.005823
0    9    5000    0.007415    0.005558
0    10    5000    0.007372    0.005554
0    11    5000    0.007393    0.005580
0    12    5000    0.007386    0.005549
0    13    5000    0.007521    0.005515
0    14    5000    0.007511    0.005507
0    15    5000    0.007534    0.005554
0    16    5000    0.007547    0.005543
0    17    5000    0.007528    0.005498
0    18    5000    0.007528    0.005488
0    19    5000    0.007540    0.005482
0    20    5000    0.007571    0.005472
0    21    5000    0.007521    0.005478
0    22    5000    0.007536    0.005451
0    23    5000    0.007533    0.005497
0    24    5000    0.007573    0.005503
0    25    5000    0.007524    0.005457
0    26    5000    0.007524    0.005457
0    27    5000    0.007545    0.005465
0    28    5000    0.007567    0.005479
0    29    5000    0.007526    0.005455
0    30    5000    0.007530    0.005448
0    31    5000    0.007541    0.005466
0    32    5000    0.005667    0.004079
0    33    5000    0.005290    0.004057
0    34    5000    0.005294    0.004067
0    35    5000    0.005331    0.004078
0    36    5000    0.005332    0.004068
0    37    5000    0.005296    0.004064
0    38    5000    0.005285    0.004447
0    39    5000    0.005301    0.004482
0    40    5000    0.005315    0.004468
0    41    5000    0.005294    0.004438
0    42    5000    0.005311    0.004474
0    43    5000    0.005303    0.004469
0    44    5000    0.005320    0.004458
0    45    5000    0.005296    0.004454
0    46    5000    0.005304    0.004466
0    47    5000    0.005296    0.004452
0    48    5000    0.005308    0.004462
0    49    5000    0.005291    0.004468
0    50    5000    0.005292    0.004442
0    51    5000    0.005331    0.004462
0    52    5000    0.005310    0.004467
0    53    5000    0.005309    0.004468
0    54    5000    0.005305    0.004470
0    55    5000    0.005320    0.004439
0    56    5000    0.005304    0.004464
0    57    5000    0.005287    0.004483
0    58    5000    0.005294    0.004449
0    59    5000    0.005317    0.004441
0    60    5000    0.005320    0.004460
0    61    5000    0.005294    0.004442
0    62    5000    0.005296    0.004454
0    63    5000    0.005305    0.004458
0    64    5000    0.005309    0.004443
0    65    5000    0.005296    0.004511
0    66    5000    0.005287    0.004454
0    67    5000    0.005299    0.004457
0    68    5000    0.005313    0.004470
0    69    5000    0.005291    0.004454
0    70    5000    0.005297    0.004457
0    71    5000    0.005308    0.004467
0    72    5000    0.005313    0.004439
0    73    5000    0.005301    0.004454
0    74    5000    0.005295    0.004457
0    75    5000    0.005293    0.004485
0    76    5000    0.005311    0.004438
0    77    5000    0.005298    0.005499
0    78    5000    0.006030    0.007684
0    79    5000    0.005372    0.005620
0    80    5000    0.005321    0.005647
1    0    5000    0.005307    0.005519
1    1    5000    0.005323    0.004972
1    2    5000    0.005296    0.004713
1    3    5000    0.005308    0.004689
1    4    5000    0.005321    0.004326
1    5    5000    0.005300    0.004294
1    6    5000    0.005293    0.004300
1    7    5000    0.005309    0.004322
1    8    5000    0.005322    0.004277
1    9    5000    0.005303    0.004091
1    10    5000    0.005300    0.004085
1    11    5000    0.005299    0.004107
1    12    5000    0.005309    0.004110
1    13    5000    0.005303    0.004103
1    14    5000    0.005304    0.004090
1    15    5000    0.005307    0.004097
1    16    5000    0.005306    0.004101
1    17    5000    0.005300    0.004094
1    18    5000    0.005299    0.004088
1    19    5000    0.005308    0.004057
1    20    5000    0.005323    0.004087
1    21    5000    0.005294    0.004060
1    22    5000    0.005292    0.004063
1    23    5000    0.005296    0.004083
1    24    5000    0.005315    0.004068
1    25    5000    0.005299    0.004083
1    26    5000    0.005313    0.004062
1    27    5000    0.005300    0.004088
1    28    5000    0.005297    0.004078
1    29    5000    0.005298    0.004065
1    30    5000    0.005302    0.004086
1    31    5000    0.005316    0.004091
1    32    5000    0.005305    0.004066
1    33    5000    0.005293    0.004065
1    34    5000    0.005292    0.004085
1    35    5000    0.005311    0.004084
1    36    5000    0.005312    0.004075
1    37    5000    0.005356    0.004072
1    38    5000    0.005296    0.004457
1    39    5000    0.005321    0.004454
1    40    5000    0.005311    0.004459
1    41    5000    0.005293    0.004447
1    42    5000    0.005286    0.004446
1    43    5000    0.005300    0.004474
1    44    5000    0.005314    0.004454
1    45    5000    0.005298    0.004444
1    46    5000    0.005293    0.004467
1    47    5000    0.005295    0.004485
1    48    5000    0.005310    0.004442
1    49    5000    0.005296    0.004432
1    50    5000    0.005303    0.004448
1    51    5000    0.005304    0.004472
1    52    5000    0.005324    0.004458
1    53    5000    0.005299    0.004451
1    54    5000    0.005302    0.004469
1    55    5000    0.005297    0.004447
1    56    5000    0.005309    0.004451
1    57    5000    0.005294    0.004422
1    58    5000    0.005298    0.004448
1    59    5000    0.005301    0.004437
1    60    5000    0.005315    0.004451
1    61    5000    0.005299    0.004461
1    62    5000    0.005303    0.004436
1    63    5000    0.005313    0.004462
1    64    5000    0.005311    0.004470
1    65    5000    0.005284    0.004431
1    66    5000    0.005295    0.004477
1    67    5000    0.005296    0.004474
1    68    5000    0.005314    0.004442
1    69    5000    0.005292    0.004461
1    70    5000    0.005290    0.004434
1    71    5000    0.005306    0.004467
1    72    5000    0.005317    0.004456
1    73    5000    0.005291    0.004469
1    74    5000    0.005290    0.004441
1    75    5000    0.005303    0.004467
1    76    5000    0.005317    0.004429
1    77    5000    0.005294    0.005501
1    78    5000    0.005288    0.005660
1    79    5000    0.005315    0.005622
1    80    5000    0.005306    0.005629
2    0    5000    0.005296    0.005494
2    1    5000    0.005292    0.004986
2    2    5000    0.005295    0.004699
2    3    5000    0.005305    0.004678
2    4    5000    0.005303    0.004321
2    5    5000    0.005311    0.004296
2    6    5000    0.005290    0.004289
2    7    5000    0.005300    0.004341
2    8    5000    0.005310    0.004280
2    9    5000    0.005295    0.004086
2    10    5000    0.005301    0.004089
2    11    5000    0.005307    0.004105
2    12    5000    0.005310    0.004107
2    13    5000    0.005296    0.004110
2    14    5000    0.005297    0.004104
2    15    5000    0.005301    0.004100
2    16    5000    0.005332    0.004100
2    17    5000    0.005298    0.004090
2    18    5000    0.005283    0.004081
2    19    5000    0.005303    0.004087
2    20    5000    0.005310    0.004069
2    21    5000    0.005299    0.004064
2    22    5000    0.005310    0.004055
2    23    5000    0.005293    0.004094
2    24    5000    0.005304    0.004069
2    25    5000    0.005305    0.004064
2    26    5000    0.005303    0.004056
2    27    5000    0.005306    0.004066
2    28    5000    0.005307    0.004080
2    29    5000    0.005305    0.004108
2    30    5000    0.005287    0.004084
2    31    5000    0.005295    0.004068
2    32    5000    0.005329    0.004068
2    33    5000    0.005291    0.004070
2    34    5000    0.005294    0.004060
2    35    5000    0.005293    0.004084
2    36    5000    0.005311    0.004066
2    37    5000    0.005296    0.004056
2    38    5000    0.005296    0.004387
2    39    5000    0.005300    0.004462
2    40    5000    0.006852    0.005704
2    41    5000    0.005357    0.004449
2    42    5000    0.005336    0.004493
2    43    5000    0.005310    0.004463
2    44    5000    0.005340    0.004441
2    45    5000    0.005308    0.004443
2    46    5000    0.005295    0.004486
2    47    5000    0.005301    0.004478
2    48    5000    0.005316    0.004473
2    49    5000    0.005300    0.004457
2    50    5000    0.005305    0.004463
2    51    5000    0.005301    0.004448
2    52    5000    0.005315    0.004454
2    53    5000    0.005302    0.004441
2    54    5000    0.005295    0.004442
2    55    5000    0.005302    0.004436
2    56    5000    0.005307    0.004448
2    57    5000    0.005296    0.004465
2    58    5000    0.005294    0.004464
2    59    5000    0.005301    0.004498
2    60    5000    0.005311    0.004475
2    61    5000    0.005297    0.004456
2    62    5000    0.005302    0.004452
2    63    5000    0.005306    0.004471
2    64    5000    0.005309    0.004466
2    65    5000    0.005291    0.004461
2    66    5000    0.005297    0.004445
2    67    5000    0.005320    0.004482
2    68    5000    0.005312    0.004483
2    69    5000    0.005301    0.004493
2    70    5000    0.005306    0.004458
2    71    5000    0.005306    0.004447
2    72    5000    0.005311    0.004471
2    73    5000    0.005287    0.004462
2    74    5000    0.005287    0.004460
2    75    5000    0.005308    0.004468
2    76    5000    0.005316    0.004433
2    77    5000    0.005290    0.005446
2    78    5000    0.005301    0.005647
2    79    5000    0.005309    0.005605
2    80    5000    0.005303    0.005649
3    0    5000    0.005288    0.005486
3    1    5000    0.005297    0.004970
3    2    5000    0.005302    0.004724
3    3    5000    0.005302    0.004678
3    4    5000    0.005307    0.004313
3    5    5000    0.005307    0.004293
3    6    5000    0.005296    0.004295
3    7    5000    0.005307    0.004335
3    8    5000    0.005300    0.004278
3    9    5000    0.005301    0.004100
3    10    5000    0.005302    0.004102
3    11    5000    0.005300    0.004104
3    12    5000    0.005304    0.004120
3    13    5000    0.005286    0.004084
3    14    5000    0.005308    0.004088
3    15    5000    0.005315    0.004105
3    16    5000    0.005309    0.004105
3    17    5000    0.005292    0.004104
3    18    5000    0.005290    0.004079
3    19    5000    0.005320    0.004066
3    20    5000    0.005316    0.004077
3    21    5000    0.005289    0.004066
3    22    5000    0.005293    0.004084
3    23    5000    0.005297    0.004094
3    24    5000    0.005310    0.004088
3    25    5000    0.005299    0.004058
3    26    5000    0.005301    0.004061
3    27    5000    0.005298    0.004091
3    28    5000    0.005306    0.004076
3    29    5000    0.005284    0.004067
3    30    5000    0.005296    0.004064
3    31    5000    0.005303    0.004080
3    32    5000    0.005313    0.004064
3    33    5000    0.005299    0.004063
3    34    5000    0.005300    0.004069
3    35    5000    0.005296    0.004080
3    36    5000    0.005328    0.004073
3    37    5000    0.005290    0.004058
3    38    5000    0.005286    0.004427
3    39    5000    0.005293    0.004466
3    40    5000    0.005320    0.004441
3    41    5000    0.005295    0.004464
3    42    5000    0.005326    0.004454
3    43    5000    0.005301    0.004476
3    44    5000    0.005299    0.004449
3    45    5000    0.005288    0.004463
3    46    5000    0.005291    0.004454
3    47    5000    0.005302    0.004449
3    48    5000    0.005308    0.004454
3    49    5000    0.005300    0.004460
3    50    5000    0.005306    0.004461
3    51    5000    0.005319    0.004453
3    52    5000    0.005307    0.004454
3    53    5000    0.005306    0.004476
3    54    5000    0.005300    0.004462
3    55    5000    0.005304    0.004461
3    56    5000    0.005303    0.004440
3    57    5000    0.005280    0.004439
3    58    5000    0.005300    0.004431
3    59    5000    0.005303    0.004457
3    60    5000    0.005321    0.004459
3    61    5000    0.005285    0.004477
3    62    5000    0.005288    0.004447
3    63    5000    0.005302    0.004466
3    64    5000    0.005313    0.004476
3    65    5000    0.005294    0.004432
3    66    5000    0.005291    0.004449
3    67    5000    0.005311    0.004440
3    68    5000    0.005312    0.004474
3    69    5000    0.005295    0.004452
3    70    5000    0.005293    0.004423
3    71    5000    0.005305    0.004465
3    72    5000    0.005305    0.004425
3    73    5000    0.005298    0.004444
3    74    5000    0.005280    0.004444
3    75    5000    0.005312    0.004454
3    76    5000    0.005320    0.004462
3    77    5000    0.005295    0.005451
3    78    5000    0.005312    0.005644
3    79    5000    0.005309    0.005660
3    80    5000    0.005313    0.005645
4    0    5000    0.005285    0.005500
4    1    5000    0.007590    0.005585
4    2    5000    0.005334    0.004706
4    3    5000    0.005327    0.004686
4    4    5000    0.005324    0.004347
4    5    5000    0.005314    0.004286
4    6    5000    0.005297    0.004319
4    7    5000    0.005304    0.004334
4    8    5000    0.005324    0.004271
4    9    5000    0.005303    0.004087
4    10    5000    0.005301    0.004075
4    11    5000    0.005303    0.004114
4    12    5000    0.005312    0.004100
4    13    5000    0.005308    0.004084
4    14    5000    0.005310    0.004084
4    15    5000    0.005323    0.004112
4    16    5000    0.005305    0.004106
4    17    5000    0.005282    0.004082
4    18    5000    0.005288    0.004078
4    19    5000    0.005301    0.004070
4    20    5000    0.005315    0.004085
4    21    5000    0.005288    0.004058
4    22    5000    0.005291    0.004072
4    23    5000    0.005295    0.004130
4    24    5000    0.005333    0.004088
4    25    5000    0.005292    0.004049
4    26    5000    0.005302    0.004061
4    27    5000    0.005298    0.004088
4    28    5000    0.005313    0.004078
4    29    5000    0.005298    0.004068
4    30    5000    0.005287    0.004087
4    31    5000    0.005304    0.004070
4    32    5000    0.005311    0.004064
4    33    5000    0.005295    0.004089
4    34    5000    0.005298    0.004050
4    35    5000    0.005303    0.004073
4    36    5000    0.005315    0.004069
4    37    5000    0.005291    0.004051
4    38    5000    0.005290    0.004444
4    39    5000    0.005317    0.004472
4    40    5000    0.005314    0.004450
4    41    5000    0.005293    0.004443
4    42    5000    0.005336    0.004471
4    43    5000    0.005302    0.004456
4    44    5000    0.005318    0.004465
4    45    5000    0.005515    0.004450
4    46    5000    0.005292    0.004460
