attempt    arraySize    insertionSortTime    mergeSortTime    diffTime
0    20    0.000003    0.000008    0.000005
0    21    0.000002    0.000006    0.000004
0    22    0.000001    0.000006    0.000005
0    23    0.000001    0.000006    0.000005
0    24    0.000001    0.000006    0.000005
0    25    0.000001    0.000007    0.000006
0    26    0.000002    0.000007    0.000005
0    27    0.000001    0.000007    0.000006
0    28    0.000002    0.000007    0.000005
0    29    0.000002    0.000008    0.000006
0    30    0.000002    0.000007    0.000005
0    31    0.000002    0.000009    0.000007
0    32    0.000002    0.000009    0.000007
0    33    0.000002    0.000009    0.000007
0    34    0.000002    0.000009    0.000007
0    35    0.000002    0.000010    0.000008
0    36    0.000002    0.000009    0.000007
0    37    0.000004    0.000010    0.000006
0    38    0.000002    0.000010    0.000008
0    39    0.000003    0.000011    0.000008
0    40    0.000003    0.000010    0.000007
0    41    0.000004    0.000011    0.000007
0    42    0.000003    0.000012    0.000009
0    43    0.000003    0.000012    0.000009
0    44    0.000004    0.000012    0.000008
0    45    0.000003    0.000012    0.000009
0    46    0.000003    0.000012    0.000009
0    47    0.000004    0.000013    0.000009
0    48    0.000004    0.000013    0.000009
0    49    0.000004    0.000014    0.000010
0    50    0.000005    0.000014    0.000009
0    51    0.000005    0.000015    0.000010
0    52    0.000006    0.000014    0.000008
0    53    0.000005    0.000015    0.000010
0    54    0.000005    0.000015    0.000010
0    55    0.000004    0.000016    0.000012
0    56    0.000005    0.000015    0.000010
0    57    0.000005    0.000015    0.000010
0    58    0.000005    0.000016    0.000011
0    59    0.000006    0.000017    0.000011
0    60    0.000006    0.000017    0.000011
0    61    0.000006    0.000018    0.000012
0    62    0.000006    0.000017    0.000011
0    63    0.000007    0.000018    0.000011
0    64    0.000007    0.000018    0.000011
0    65    0.000007    0.000019    0.000012
0    66    0.000007    0.000019    0.000012
0    67    0.000007    0.000020    0.000013
0    68    0.000008    0.000020    0.000012
0    69    0.000008    0.000020    0.000012
0    70    0.000007    0.000021    0.000014
0    71    0.000008    0.000022    0.000014
0    72    0.000008    0.000022    0.000014
0    73    0.000009    0.000022    0.000013
0    74    0.000008    0.000022    0.000014
0    75    0.000007    0.000023    0.000016
0    76    0.000009    0.000023    0.000014
0    77    0.000008    0.000023    0.000015
0    78    0.000009    0.000023    0.000014
0    79    0.000009    0.000024    0.000015
0    80    0.000010    0.000023    0.000013
0    81    0.000010    0.000024    0.000014
0    82    0.000009    0.000025    0.000016
0    83    0.000009    0.000024    0.000015
0    84    0.000010    0.000025    0.000015
0    85    0.000009    0.000026    0.000017
0    86    0.000011    0.000026    0.000015
0    87    0.000011    0.000027    0.000016
0    88    0.000011    0.000027    0.000016
0    89    0.000012    0.000027    0.000015
0    90    0.000012    0.000028    0.000016
0    91    0.000012    0.000027    0.000015
0    92    0.000013    0.000028    0.000015
0    93    0.000012    0.000029    0.000017
0    94    0.000012    0.000028    0.000016
0    95    0.000013    0.000029    0.000016
0    96    0.000014    0.000029    0.000015
0    97    0.000013    0.000030    0.000017
0    98    0.000014    0.000030    0.000016
0    99    0.000015    0.000031    0.000016
0    100    0.000014    0.000031    0.000017
0    101    0.000015    0.000031    0.000016
0    102    0.000015    0.000033    0.000018
0    103    0.000014    0.000032    0.000018
0    104    0.000015    0.000032    0.000017
0    105    0.000016    0.000033    0.000017
0    106    0.000018    0.000033    0.000015
0    107    0.000016    0.000033    0.000017
0    108    0.000016    0.000033    0.000017
0    109    0.000017    0.000034    0.000017
0    110    0.000017    0.000034    0.000017
0    111    0.000018    0.000034    0.000016
0    112    0.000018    0.000035    0.000017
0    113    0.000016    0.000034    0.000018
0    114    0.000017    0.000035    0.000018
0    115    0.000015    0.000036    0.000021
0    116    0.000017    0.000036    0.000019
0    117    0.000019    0.000036    0.000017
0    118    0.000018    0.000036    0.000018
0    119    0.000020    0.000037    0.000017
0    120    0.000018    0.000038    0.000020
0    121    0.000019    0.000039    0.000020
0    122    0.000019    0.000039    0.000020
0    123    0.000022    0.000038    0.000016
0    124    0.000021    0.000038    0.000017
0    125    0.000020    0.000038    0.000018
0    126    0.000020    0.000040    0.000020
0    127    0.000022    0.000040    0.000018
0    128    0.000022    0.000040    0.000018
0    129    0.000021    0.000040    0.000019
0    130    0.000022    0.000041    0.000019
0    131    0.000024    0.000041    0.000017
0    132    0.000024    0.000042    0.000018
0    133    0.000021    0.000042    0.000021
0    134    0.000023    0.000043    0.000020
0    135    0.000023    0.000044    0.000021
0    136    0.000022    0.000042    0.000020
