attempt    arraySize    insertionSortTime    mergeSortTime    diffTime
0    20    0.000007    0.000017    0.000010
0    21    0.000007    0.000015    0.000008
0    22    0.000008    0.000015    0.000007
0    23    0.000007    0.000017    0.000010
0    24    0.000010    0.000017    0.000007
0    25    0.000007    0.000018    0.000011
0    26    0.000009    0.000019    0.000010
0    27    0.000012    0.000019    0.000007
0    28    0.000013    0.000021    0.000008
0    29    0.000011    0.000022    0.000011
0    30    0.000011    0.000022    0.000011
0    31    0.000014    0.000023    0.000009
0    32    0.000015    0.000033    0.000018
0    33    0.000016    0.000024    0.000008
0    34    0.000016    0.000025    0.000009
0    35    0.000019    0.000027    0.000008
0    36    0.000018    0.000028    0.000010
0    37    0.000018    0.000028    0.000010
0    38    0.000022    0.000030    0.000008
0    39    0.000020    0.000030    0.000010
0    40    0.000021    0.000031    0.000010
0    41    0.000025    0.000032    0.000007
0    42    0.000025    0.000032    0.000007
0    43    0.000026    0.000034    0.000008
0    44    0.000022    0.000034    0.000012
0    45    0.000030    0.000037    0.000007
0    46    0.000031    0.000036    0.000005
0    47    0.000029    0.000036    0.000007
0    48    0.000028    0.000038    0.000010
0    49    0.000032    0.000039    0.000007
0    50    0.000032    0.000040    0.000008
0    51    0.000037    0.000042    0.000005
0    52    0.000037    0.000043    0.000006
0    53    0.000035    0.000043    0.000008
0    54    0.000036    0.000044    0.000008
0    55    0.000040    0.000071    0.000031
0    56    0.000041    0.000046    0.000005
0    57    0.000041    0.000047    0.000006
0    58    0.000042    0.000048    0.000006
0    59    0.000041    0.000050    0.000009
0    60    0.000042    0.000051    0.000009
0    61    0.000047    0.000051    0.000004
0    62    0.000045    0.000052    0.000007
0    63    0.000048    0.000055    0.000007
0    64    0.000049    0.000054    0.000005
0    65    0.000052    0.000054    0.000002
0    66    0.000054    0.000056    0.000002
0    67    0.000059    0.000057    0.000002
0    68    0.000061    0.000058    0.000003
0    69    0.000057    0.000062    0.000005
0    70    0.000057    0.000060    0.000003
0    71    0.000068    0.000062    0.000006
0    72    0.000072    0.000063    0.000009
0    73    0.000062    0.000063    0.000001
0    74    0.000069    0.000064    0.000005
0    75    0.000070    0.000067    0.000003
0    76    0.000073    0.000067    0.000006
0    77    0.000066    0.000068    0.000002
0    78    0.000066    0.000069    0.000003
0    79    0.000078    0.000070    0.000008
0    80    0.000083    0.000076    0.000007
0    81    0.000083    0.000071    0.000012
0    82    0.000081    0.000073    0.000008
0    83    0.000077    0.000074    0.000003
0    84    0.000081    0.000075    0.000006
0    85    0.000087    0.000078    0.000009
0    86    0.000093    0.000078    0.000015
0    87    0.000088    0.000078    0.000010
0    88    0.000094    0.000079    0.000015
0    89    0.000093    0.000081    0.000012
0    90    0.000102    0.000081    0.000021
0    91    0.000089    0.000083    0.000006
0    92    0.000102    0.000083    0.000019
0    93    0.000098    0.000083    0.000015
0    94    0.000112    0.000084    0.000028
0    95    0.000098    0.000085    0.000013
0    96    0.000118    0.000086    0.000032
0    97    0.000107    0.000088    0.000019
0    98    0.000117    0.000089    0.000028
0    99    0.000123    0.000089    0.000034
0    100    0.000122    0.000091    0.000031
0    101    0.000117    0.000093    0.000024
0    102    0.000122    0.000092    0.000030
0    103    0.000141    0.000101    0.000040
0    104    0.000133    0.000094    0.000039
0    105    0.000138    0.000097    0.000041
0    106    0.000142    0.000097    0.000045
0    107    0.000153    0.000099    0.000054
0    108    0.000122    0.000100    0.000022
0    109    0.000139    0.000101    0.000038
0    110    0.000137    0.000102    0.000035
0    111    0.000144    0.000107    0.000037
0    112    0.000153    0.000103    0.000050
0    113    0.000145    0.000104    0.000041
0    114    0.000166    0.000110    0.000056
0    115    0.000170    0.000105    0.000065
0    116    0.000172    0.000107    0.000065
0    117    0.000167    0.000107    0.000060
0    118    0.000164    0.000110    0.000054
0    119    0.000161    0.000113    0.000048
0    120    0.000165    0.000112    0.000053
0    121    0.000165    0.000113    0.000052
0    122    0.000179    0.000118    0.000061
0    123    0.000191    0.000115    0.000076
0    124    0.000183    0.000116    0.000067
0    125    0.000197    0.000118    0.000079
0    126    0.000199    0.000118    0.000081
0    127    0.000201    0.000118    0.000083
0    128    0.000188    0.000120    0.000068
0    129    0.000190    0.000121    0.000069
0    130    0.000200    0.000124    0.000076
0    131    0.000209    0.000125    0.000084
0    132    0.000200    0.000125    0.000075
0    133    0.000198    0.000125    0.000073
0    134    0.000198    0.000126    0.000072
0    135    0.000217    0.000129    0.000088
0    136    0.000218    0.000130    0.000088
0    137    0.000225    0.000132    0.000093
0    138    0.000229    0.000133    0.000096
0    139    0.000244    0.000137    0.000107
0    140    0.000242    0.000134    0.000108
0    141    0.000212    0.000133    0.000079
0    142    0.000230    0.000135    0.000095
0    143    0.000238    0.000137    0.000101
0    144    0.000238    0.000139    0.000099
0    145    0.000260    0.000139    0.000121
0    146    0.000286    0.000141    0.000145
0    147    0.000251    0.000142    0.000109
0    148    0.000262    0.000142    0.000120
0    149    0.000253    0.000144    0.000109
0    150    0.000272    0.000145    0.000127
1    20    0.000007    0.000014    0.000007
1    21    0.000008    0.000015    0.000007
1    22    0.000008    0.000015    0.000007
1    23    0.000008    0.000016    0.000008
1    24    0.000008    0.000017    0.000009
1    25    0.000009    0.000017    0.000008
1    26    0.000010    0.000018    0.000008
1    27    0.000010    0.000019    0.000009
1    28    0.000012    0.000020    0.000008
1    29    0.000013    0.000021    0.000008
1    30    0.000013    0.000022    0.000009
1    31    0.000012    0.000023    0.000011
1    32    0.000013    0.000024    0.000011
1    33    0.000018    0.000026    0.000008
1    34    0.000017    0.000025    0.000008
1    35    0.000015    0.000027    0.000012
1    36    0.000051    0.000028    0.000023
1    37    0.000020    0.000029    0.000009
1    38    0.000019    0.000029    0.000010
1    39    0.000019    0.000030    0.000011
1    40    0.000023    0.000031    0.000008
1    41    0.000021    0.000032    0.000011
1    42    0.000022    0.000033    0.000011
1    43    0.000025    0.000034    0.000009
1    44    0.000024    0.000035    0.000011
1    45    0.000031    0.000040    0.000009
1    46    0.000028    0.000037    0.000009
1    47    0.000028    0.000037    0.000009
1    48    0.000033    0.000038    0.000005
1    49    0.000032    0.000039    0.000007
1    50    0.000028    0.000040    0.000012
1    51    0.000031    0.000041    0.000010
1    52    0.000031    0.000042    0.000011
1    53    0.000038    0.000043    0.000005
1    54    0.000036    0.000044    0.000008
1    55    0.000043    0.000046    0.000003
1    56    0.000040    0.000045    0.000005
1    57    0.000037    0.000046    0.000009
1    58    0.000040    0.000048    0.000008
1    59    0.000039    0.000048    0.000009
1    60    0.000044    0.000050    0.000006
1    61    0.000047    0.000051    0.000004
1    62    0.000052    0.000055    0.000003
1    63    0.000051    0.000052    0.000001
1    64    0.000051    0.000053    0.000002
1    65    0.000059    0.000055    0.000004
1    66    0.000052    0.000055    0.000003
1    67    0.000055    0.000056    0.000001
1    68    0.000057    0.000058    0.000001
1    69    0.000049    0.000060    0.000011
1    70    0.000070    0.000061    0.000009
1    71    0.000064    0.000061    0.000003
1    72    0.000057    0.000062    0.000005
1    73    0.000056    0.000064    0.000008
1    74    0.000064    0.000063    0.000001
1    75    0.000070    0.000066    0.000004
1    76    0.000073    0.000066    0.000007
1    77    0.000072    0.000068    0.000004
1    78    0.000064    0.000069    0.000005
1    79    0.000076    0.000069    0.000007
1    80    0.000088    0.000071    0.000017
1    81    0.000068    0.000071    0.000003
1    82    0.000080    0.000072    0.000008
1    83    0.000079    0.000074    0.000005
1    84    0.000085    0.000073    0.000012
1    85    0.000086    0.000075    0.000011
1    86    0.000072    0.000077    0.000005
1    87    0.000100    0.000078    0.000022
1    88    0.000098    0.000079    0.000019
1    89    0.000101    0.000083    0.000018
1    90    0.000093    0.000081    0.000012
1    91    0.000093    0.000081    0.000012
1    92    0.000104    0.000082    0.000022
1    93    0.000108    0.000087    0.000021
1    94    0.000109    0.000085    0.000024
1    95    0.000096    0.000085    0.000011
1    96    0.000107    0.000086    0.000021
1    97    0.000106    0.000092    0.000014
1    98    0.000115    0.000086    0.000029
1    99    0.000116    0.000088    0.000028
1    100    0.000122    0.000088    0.000034
1    101    0.000116    0.000090    0.000026
1    102    0.000108    0.000088    0.000020
1    103    0.000115    0.000089    0.000026
1    104    0.000119    0.000096    0.000023
1    105    0.000121    0.000095    0.000026
1    106    0.000137    0.000096    0.000041
1    107    0.000142    0.000101    0.000041
1    108    0.000156    0.000100    0.000056
1    109    0.000132    0.000099    0.000033
1    110    0.000156    0.000101    0.000055
1    111    0.000149    0.000103    0.000046
1    112    0.000156    0.000104    0.000052
1    113    0.000143    0.000104    0.000039
1    114    0.000168    0.000105    0.000063
1    115    0.000158    0.000107    0.000051
1    116    0.000169    0.000107    0.000062
1    117    0.000167    0.000108    0.000059
1    118    0.000178    0.000109    0.000069
1    119    0.000155    0.000114    0.000041
1    120    0.000173    0.000114    0.000059
1    121    0.000186    0.000114    0.000072
1    122    0.000170    0.000114    0.000056
1    123    0.000171    0.000116    0.000055
1    124    0.000189    0.000116    0.000073
1    125    0.000175    0.000116    0.000059
1    126    0.000177    0.000117    0.000060
1    127    0.000201    0.000132    0.000069
1    128    0.000194    0.000128    0.000066
1    129    0.000207    0.000129    0.000078
1    130    0.000176    0.000131    0.000045
1    131    0.000196    0.000130    0.000066
1    132    0.000216    0.000133    0.000083
1    133    0.000191    0.000135    0.000056
1    134    0.000206    0.000135    0.000071
1    135    0.000215    0.000136    0.000079
1    136    0.000218    0.000137    0.000081
1    137    0.000232    0.000140    0.000092
1    138    0.000218    0.000140    0.000078
1    139    0.000243    0.000141    0.000102
1    140    0.000229    0.000141    0.000088
1    141    0.000206    0.000142    0.000064
1    142    0.000247    0.000145    0.000102
1    143    0.000219    0.000145    0.000074
1    144    0.000234    0.000146    0.000088
1    145    0.000251    0.000148    0.000103
1    146    0.000266    0.000149    0.000117
1    147    0.000255    0.000149    0.000106
1    148    0.000251    0.000151    0.000100
1    149    0.000263    0.000154    0.000109
1    150    0.000270    0.000154    0.000116
2    20    0.000006    0.000016    0.000010
2    21    0.000007    0.000016    0.000009
2    22    0.000009    0.000016    0.000007
2    23    0.000008    0.000017    0.000009
2    24    0.000006    0.000019    0.000013
2    25    0.000008    0.000019    0.000011
2    26    0.000009    0.000021    0.000012
2    27    0.000011    0.000021    0.000010
2    28    0.000011    0.000021    0.000010
2    29    0.000011    0.000023    0.000012
2    30    0.000015    0.000023    0.000008
2    31    0.000013    0.000024    0.000011
2    32    0.000016    0.000024    0.000008
2    33    0.000015    0.000026    0.000011
2    34    0.000017    0.000027    0.000010
2    35    0.000019    0.000028    0.000009
2    36    0.000018    0.000029    0.000011
2    37    0.000019    0.000031    0.000012
2    38    0.000019    0.000031    0.000012
2    39    0.000018    0.000033    0.000015
2    40    0.000023    0.000032    0.000009
2    41    0.000020    0.000034    0.000014
2    42    0.000028    0.000034    0.000006
2    43    0.000025    0.000036    0.000011
2    44    0.000028    0.000037    0.000009
2    45    0.000029    0.000037    0.000008
2    46    0.000020    0.000039    0.000019
2    47    0.000025    0.000041    0.000016
2    48    0.000028    0.000041    0.000013
2    49    0.000034    0.000041    0.000007
2    50    0.000033    0.000044    0.000011
2    51    0.000028    0.000044    0.000016
2    52    0.000037    0.000045    0.000008
2    53    0.000037    0.000046    0.000009
2    54    0.000035    0.000047    0.000012
2    55    0.000042    0.000048    0.000006
2    56    0.000033    0.000048    0.000015
2    57    0.000046    0.000050    0.000004
2    58    0.000046    0.000051    0.000005
2    59    0.000040    0.000053    0.000013
2    60    0.000041    0.000054    0.000013
2    61    0.000048    0.000055    0.000007
2    62    0.000050    0.000057    0.000007
2    63    0.000048    0.000056    0.000008
2    64    0.000046    0.000058    0.000012
2    65    0.000053    0.000058    0.000005
2    66    0.000057    0.000061    0.000004
2    67    0.000047    0.000060    0.000013
2    68    0.000053    0.000062    0.000009
2    69    0.000054    0.000063    0.000009
2    70    0.000060    0.000064    0.000004
2    71    0.000070    0.000065    0.000005
2    72    0.000067    0.000066    0.000001
2    73    0.000065    0.000067    0.000002
2    74    0.000056    0.000067    0.000011
2    75    0.000062    0.000070    0.000008
2    76    0.000071    0.000070    0.000001
2    77    0.000065    0.000072    0.000007
2    78    0.000065    0.000072    0.000007
2    79    0.000064    0.000073    0.000009
2    80    0.000084    0.000074    0.000010
2    81    0.000079    0.000075    0.000004
2    82    0.000085    0.000077    0.000008
2    83    0.000089    0.000079    0.000010
2    84    0.000092    0.000080    0.000012
2    85    0.000090    0.000081    0.000009
2    86    0.000083    0.000081    0.000002
2    87    0.000079    0.000090    0.000011
2    88    0.000093    0.000085    0.000008
2    89    0.000089    0.000085    0.000004
2    90    0.000098    0.000086    0.000012
2    91    0.000099    0.000087    0.000012
2    92    0.000095    0.000088    0.000007
2    93    0.000094    0.000089    0.000005
2    94    0.000111    0.000091    0.000020
2    95    0.000100    0.000091    0.000009
2    96    0.000105    0.000091    0.000014
2    97    0.000116    0.000094    0.000022
2    98    0.000104    0.000094    0.000010
2    99    0.000101    0.000095    0.000006
2    100    0.000119    0.000096    0.000023
2    101    0.000120    0.000099    0.000021
2    102    0.000125    0.000098    0.000027
2    103    0.000128    0.000101    0.000027
2    104    0.000122    0.000101    0.000021
2    105    0.000138    0.000102    0.000036
2    106    0.000129    0.000104    0.000025
2    107    0.000136    0.000105    0.000031
2    108    0.000150    0.000105    0.000045
2    109    0.000119    0.000105    0.000014
2    110    0.000138    0.000107    0.000031
2    111    0.000151    0.000109    0.000042
2    112    0.000138    0.000110    0.000028
2    113    0.000143    0.000111    0.000032
2    114    0.000145    0.000112    0.000033
2    115    0.000159    0.000113    0.000046
2    116    0.000158    0.000114    0.000044
2    117    0.000165    0.000116    0.000049
2    118    0.000148    0.000116    0.000032
2    119    0.000178    0.000117    0.000061
2    120    0.000180    0.000120    0.000060
2    121    0.000163    0.000120    0.000043
2    122    0.000191    0.000122    0.000069
2    123    0.000185    0.000122    0.000063
2    124    0.000173    0.000124    0.000049
2    125    0.000165    0.000124    0.000041
2    126    0.000194    0.000126    0.000068
2    127    0.000172    0.000127    0.000045
2    128    0.000179    0.000127    0.000052
2    129    0.000183    0.000130    0.000053
2    130    0.000174    0.000130    0.000044
2    131    0.000183    0.000132    0.000051
2    132    0.000186    0.000133    0.000053
2    133    0.000206    0.000135    0.000071
2    134    0.000226    0.000134    0.000092
2    135    0.000218    0.000135    0.000083
2    136    0.000199    0.000137    0.000062
2    137    0.000210    0.000140    0.000070
2    138    0.000204    0.000139    0.000065
2    139    0.000233    0.000140    0.000093
2    140    0.000219    0.000141    0.000078
2    141    0.000206    0.000143    0.000063
2    142    0.000234    0.000144    0.000090
2    143    0.000232    0.000144    0.000088
2    144    0.000236    0.000146    0.000090
2    145    0.000225    0.000148    0.000077
2    146    0.000247    0.000148    0.000099
2    147    0.000244    0.000149    0.000095
2    148    0.000233    0.000152    0.000081
2    149    0.000255    0.000152    0.000103
2    150    0.000261    0.000153    0.000108
3    20    0.000006    0.000016    0.000010
3    21    0.000007    0.000016    0.000009
3    22    0.000008    0.000017    0.000009
3    23    0.000007    0.000017    0.000010
3    24    0.000008    0.000019    0.000011
3    25    0.000010    0.000019    0.000009
3    26    0.000010    0.000020    0.000010
3    27    0.000012    0.000020    0.000008
3    28    0.000011    0.000021    0.000010
3    29    0.000012    0.000022    0.000010
3    30    0.000012    0.000024    0.000012
3    31    0.000014    0.000025    0.000011
3    32    0.000013    0.000026    0.000013
3    33    0.000014    0.000027    0.000013
3    34    0.000018    0.000027    0.000009
3    35    0.000016    0.000029    0.000013
3    36    0.000018    0.000029    0.000011
3    37    0.000018    0.000030    0.000012
3    38    0.000020    0.000031    0.000011
3    39    0.000021    0.000033    0.000012
3    40    0.000017    0.000033    0.000016
3    41    0.000023    0.000033    0.000010
3    42    0.000022    0.000035    0.000013
3    43    0.000019    0.000037    0.000018
3    44    0.000028    0.000036    0.000008
3    45    0.000027    0.000037    0.000010
3    46    0.000028    0.000039    0.000011
3    47    0.000027    0.000040    0.000013
3    48    0.000027    0.000040    0.000013
3    49    0.000029    0.000042    0.000013
3    50    0.000030    0.000043    0.000013
3    51    0.000029    0.000043    0.000014
3    52    0.000033    0.000045    0.000012
3    53    0.000039    0.000046    0.000007
3    54    0.000039    0.000047    0.000008
3    55    0.000041    0.000048    0.000007
3    56    0.000041    0.000049    0.000008
3    57    0.000044    0.000049    0.000005
3    58    0.000043    0.000051    0.000008
3    59    0.000042    0.000052    0.000010
3    60    0.000042    0.000054    0.000012
3    61    0.000044    0.000054    0.000010
3    62    0.000051    0.000056    0.000005
3    63    0.000054    0.000057    0.000003
3    64    0.000050    0.000057    0.000007
3    65    0.000046    0.000059    0.000013
3    66    0.000061    0.000059    0.000002
3    67    0.000060    0.000061    0.000001
3    68    0.000055    0.000062    0.000007
3    69    0.000054    0.000062    0.000008
3    70    0.000056    0.000064    0.000008
3    71    0.000059    0.000066    0.000007
3    72    0.000065    0.000066    0.000001
3    73    0.000071    0.000067    0.000004
3    74    0.000063    0.000068    0.000005
3    75    0.000064    0.000069    0.000005
3    76    0.000080    0.000083    0.000003
3    77    0.000075    0.000073    0.000002
3    78    0.000073    0.000072    0.000001
3    79    0.000066    0.000073    0.000007
3    80    0.000087    0.000075    0.000012
3    81    0.000072    0.000076    0.000004
3    82    0.000082    0.000077    0.000005
3    83    0.000081    0.000079    0.000002
3    84    0.000089    0.000079    0.000010
3    85    0.000089    0.000082    0.000007
3    86    0.000089    0.000082    0.000007
3    87    0.000091    0.000083    0.000008
3    88    0.000091    0.000084    0.000007
3    89    0.000096    0.000084    0.000012
3    90    0.000106    0.000086    0.000020
3    91    0.000095    0.000086    0.000009
3    92    0.000095    0.000088    0.000007
3    93    0.000099    0.000088    0.000011
3    94    0.000093    0.000090    0.000003
3    95    0.000097    0.000092    0.000005
3    96    0.000114    0.000091    0.000023
3    97    0.000098    0.000093    0.000005
3    98    0.000108    0.000094    0.000014
3    99    0.000104    0.000094    0.000010
3    100    0.000111    0.000097    0.000014
3    101    0.000124    0.000099    0.000025
3    102    0.000113    0.000100    0.000013
3    103    0.000116    0.000101    0.000015
3    104    0.000139    0.000100    0.000039
3    105    0.000128    0.000102    0.000026
3    106    0.000133    0.000103    0.000030
3    107    0.000120    0.000104    0.000016
3    108    0.000128    0.000105    0.000023
3    109    0.000136    0.000107    0.000029
3    110    0.000147    0.000108    0.000039
3    111    0.000135    0.000108    0.000027
3    112    0.000143    0.000109    0.000034
3    113    0.000150    0.000121    0.000029
3    114    0.000146    0.000112    0.000034
3    115    0.000143    0.000114    0.000029
3    116    0.000147    0.000113    0.000034
3    117    0.000163    0.000115    0.000048
3    118    0.000168    0.000117    0.000051
3    119    0.000169    0.000118    0.000051
3    120    0.000145    0.000121    0.000024
3    121    0.000172    0.000121    0.000051
3    122    0.000172    0.000121    0.000051
3    123    0.000191    0.000121    0.000070
3    124    0.000179    0.000124    0.000055
3    125    0.000172    0.000125    0.000047
3    126    0.000193    0.000126    0.000067
3    127    0.000159    0.000126    0.000033
3    128    0.000192    0.000128    0.000064
3    129    0.000199    0.000129    0.000070
3    130    0.000219    0.000131    0.000088
3    131    0.000207    0.000132    0.000075
3    132    0.000200    0.000132    0.000068
3    133    0.000202    0.000133    0.000069
3    134    0.000203    0.000134    0.000069
3    135    0.000200    0.000136    0.000064
3    136    0.000235    0.000136    0.000099
3    137    0.000227    0.000139    0.000088
3    138    0.000214    0.000145    0.000069
3    139    0.000199    0.000140    0.000059
3    140    0.000225    0.000142    0.000083
3    141    0.000241    0.000142    0.000099
