totalOperations    list    bst    loadFactor
800    0.000629    0.000673    0.576730
1600    0.001256    0.001256    1.631896
2400    0.001940    0.002007    3.158475
3200    0.002913    0.002844    5.170512
4000    0.004279    0.004033    7.680040
4800    0.006271    0.005417    10.689067
5600    0.008870    0.006756    14.199599
6400    0.012379    0.008162    18.211635
7200    0.017567    0.009627    22.725176
8000    0.024237    0.011239    27.740221
8800    0.032883    0.013704    33.256770
9600    0.044153    0.015738    39.274824
10400    0.058217    0.017681    45.794383
11200    0.071350    0.019338    52.815446
12000    0.088763    0.021418    60.338014
12800    0.109400    0.023362    68.362086
13600    0.131667    0.025434    76.887663
14400    0.156172    0.027229    85.914744
15200    0.185254    0.029556    95.443330
16000    0.216025    0.031460    105.473420
16800    0.250993    0.033405    116.005015
17600    0.288529    0.035461    127.038114
18400    0.331376    0.038421    138.572718
19200    0.378294    0.040349    150.608826
20000    0.428513    0.042866    163.146439
20800    0.483950    0.044715    176.184554
21600    0.544701    0.046850    189.723170
22400    0.609110    0.049301    203.763290
23200    0.680019    0.051625    218.298897
24000    0.755947    0.054018    233.344032
24800    0.836109    0.056258    248.889669
25600    0.922254    0.058786    264.932798
26400    1.015027    0.062183    281.479438
27200    1.113560    0.064164    298.526580
28000    1.217366    0.066640    316.078235
28800    1.338947    0.067923    334.124373
29600    1.463338    0.070655    352.661986
30400    1.597337    0.073116    371.706118
31200    1.721229    0.075725    391.263791
32000    1.860589    0.078664    411.317954
32800    2.005358    0.081288    431.869609
33600    2.160311    0.083934    452.921765
34400    2.322280    0.086794    474.465396
35200    2.494183    0.089307    496.522568
36000    2.653342    0.092394    519.087262
36800    2.831486    0.095915    542.143430
37600    3.020335    0.098391    565.683049
38400    3.210737    0.101356    589.730191
39200    3.428554    0.104060    614.263791
40000    3.629613    0.106854    639.314945
