currentOperations    totalOperations    totalInsertedElements    loadFactor    list    bst
250    250    188    0.749004    0.000335    0.000337
500    750    564    2.247012    0.000712    0.000699
752    1502    1128    4.494024    0.001118    0.001104
1003    2505    1881    7.494024    0.001774    0.001634
1253    3758    2822    11.243028    0.002440    0.002120
1505    5263    3951    15.741036    0.003494    0.002656
1755    7018    5268    20.988048    0.004917    0.003223
2008    9026    6774    26.988048    0.006774    0.004001
2258    11284    8468    33.737052    0.009049    0.004689
2508    13792    10350    41.235060    0.012149    0.005634
2760    16552    12420    49.482072    0.015934    0.006341
3011    19563    14679    58.482072    0.021092    0.007192
3261    22824    17126    68.231076    0.027255    0.008338
3513    26337    19761    78.729084    0.035645    0.009454
3763    30100    22584    89.976096    0.047527    0.010360
4016    34116    25596    101.976096    0.059733    0.011404
4266    38382    28796    114.725100    0.074774    0.012458
4516    42898    32184    128.223108    0.091157    0.013343
4768    47666    35760    142.470120    0.109626    0.014378
5019    52685    39525    157.470120    0.131234    0.015484
5269    57954    43478    173.219124    0.154022    0.016412
5521    63475    47619    189.717131    0.180079    0.017258
5771    69246    51946    206.956175    0.175314    0.011949
6024    75270    56464    224.956175    0.147584    0.012552
6274    81544    61166    243.689243    0.166948    0.013259
6524    88068    66058    263.179283    0.308451    0.021366
6776    94844    71140    283.426295    0.345660    0.022606
7027    101871    76411    304.426295    0.395356    0.023457
7277    109148    81870    326.175299    0.436096    0.024858
7529    116677    87517    348.673307    0.486747    0.025881
7779    124456    93348    371.904382    0.539649    0.026881
8032    132488    99372    395.904382    0.595384    0.028312
8282    140770    105584    420.653386    0.653678    0.029005
8532    149302    111982    446.143426    0.717112    0.030467
8784    158086    118570    472.390438    0.787421    0.031459
9035    167121    125345    499.382470    0.855924    0.033316
9285    176406    132310    527.131474    0.936566    0.034179
9537    185943    139461    555.621514    1.037000    0.036112
9787    195730    146800    584.860558    1.107158    0.036022
10040    205770    154330    614.860558    1.192596    0.037417
10290    216060    162046    645.601594    1.297846    0.038611
10540    226600    169950    677.091633    1.400232    0.039633
10792    237392    178044    709.338645    1.016277    0.026624
11043    248435    186327    742.338645    1.413819    0.041871
11293    259728    194798    776.087649    1.714887    0.043501
11545    271273    203457    810.585657    1.835575    0.044499
11795    283068    212304    845.832669    1.962774    0.046263
12048    295116    221326    881.776892    2.095636    0.042367
12298    307414    230548    918.517928    1.869787    0.031597
12548    319962    239954    955.992032    2.120362    0.050043
12800    332762    249554    994.239044    1.878114    0.033069
13051    345813    259337    1033.215139    1.641902    0.033858
13301    359114    269314    1072.964143    1.743901    0.034822
13553    372667    279467    1113.414343    1.847110    0.035776
13803    386470    289816    1154.645418    1.955672    0.036614
14056    400526    300350    1196.613546    3.060064    0.057261
14306    414832    311080    1239.362550    3.540561    0.058793
14556    429388    321998    1282.860558    3.730704    0.060355
14808    444196    333094    1327.067729    3.932615    0.062590
15059    459255    344385    1372.051793    4.164658    0.062922
